stocks,rank,trace_stat,max_eigen_stat
"AAPL, AMD, AVGO",1,39.42108175472018,34.26556495295788
"AAPL, AMD, GOOGL",1,31.271646660827578,21.598902877965653
"AAPL, AMD, NVDA",1,32.65685927237657,28.106767910449264
"AAPL, AMD, QCOM",1,31.701313251582494,18.113386822418626
"AAPL, AVGO, GOOGL",1,33.51469276841858,24.82930160563985
"AAPL, AVGO, NVDA",1,31.80398880585644,18.613493582005656
"AAPL, AVGO, QCOM",1,31.488039365136647,19.56411857435602
"AAPL, GOOGL, MSFT",1,30.530916799903693,21.52092067750309
"AAPL, GOOGL, NVDA",1,31.40639181594717,25.693669169793562
"AAPL, MSFT, NVDA",1,30.441951819158426,20.50312152957946
"AMD, AVGO, NVDA",1,31.152403416497553,26.51843941767469
"AMD, GOOGL, MSFT",1,29.942054551820526,21.330363166958954
"AVGO, GOOGL, MSFT",1,30.441141281468692,18.204758698122667
"AVGO, GOOGL, NVDA",1,31.78570459570218,24.899843868167302
"AVGO, NVDA, QCOM",1,31.527555897408934,22.16167472919137
"GOOGL, MSFT, QCOM",1,30.59968695542396,21.741684477418996
